Anbieter;Anbietertyp;Hersteller;Modell;Speicher GB;Farbe;Zustand;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle;Abgerufen am;Listungs-ID;SKU-ID
Vodafone;netzbetreiber;Google;Pixel 10a;128;violett;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10a.html;2026-08-29;vodafone--google-pixel-10a-128gb-violett;google-pixel-10a-128gb-violett
Vodafone;netzbetreiber;Google;Pixel 10a;256;schwarz;neu;649,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10a.html;2026-08-29;vodafone--google-pixel-10a-256gb-schwarz;google-pixel-10a-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11;256;Frost;neu;999,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-256gb-frost;google-pixel-11-256gb-frost
Vodafone;netzbetreiber;Google;Pixel 11;256;Hibiscus;neu;999,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-256gb-hibiscus;google-pixel-11-256gb-hibiscus
Vodafone;netzbetreiber;Google;Pixel 11;256;Pistachio;neu;999,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-256gb-pistachio;google-pixel-11-256gb-pistachio
Vodafone;netzbetreiber;Google;Pixel 11;256;schwarz;neu;999,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-256gb-schwarz;google-pixel-11-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11;512;Frost;neu;1129,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-512gb-frost;google-pixel-11-512gb-frost
Vodafone;netzbetreiber;Google;Pixel 11;512;schwarz;neu;1129,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11.html;2026-08-29;vodafone--google-pixel-11-512gb-schwarz;google-pixel-11-512gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 11 Pro;256;Canyon;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-256gb-canyon;google-pixel-11-pro-256gb-canyon
Vodafone;netzbetreiber;Google;Pixel 11 Pro;256;Fog;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-11-pro.html;2026-08-29;vodafone--google-pixel-11-pro-256gb-fog;google-pixel-11-pro-256gb-fog
